iter	Passed	Remaining
0	39	31854
1	75	30201
2	104	27734
3	138	27652
4	164	26174
5	184	24455
6	212	24068
7	234	23262
8	264	23245
9	286	22655
10	314	22562
11	336	22088
12	362	21922
13	391	21990
14	413	21622
15	438	21490
16	506	23316
17	555	24129
18	599	24661
19	642	25038
20	685	25425
21	721	25514
22	763	25790
23	809	26186
24	836	25921
25	867	25821
26	896	25661
27	921	25407
28	945	25124
29	966	24805
30	984	24432
31	1007	24173
32	1033	24022
33	1063	23962
34	1098	24006
35	1134	24077
36	1165	24028
37	1191	23894
38	1217	23756
39	1241	23594
40	1265	23426
41	1289	23268
42	1321	23256
43	1344	23105
44	1371	23012
45	1398	22922
46	1423	22805
47	1446	22669
48	1469	22516
49	1496	22440
50	1520	22327
51	1544	22215
52	1601	22578
53	1672	23100
54	1699	23015
55	1715	22798
56	1731	22566
57	1745	22330
58	1762	22141
59	1777	21928
60	1791	21707
61	1804	21484
62	1818	21273
63	1834	21099
64	1851	20930
65	1864	20732
66	1879	20557
67	1897	20424
68	1913	20268
69	1928	20116
70	1943	19953
71	1959	19817
72	1976	19688
73	1990	19529
74	2004	19377
75	2021	19253
76	2035	19112
77	2050	18979
78	2065	18849
79	2088	18792
80	2102	18661
81	2117	18544
82	2133	18427
83	2175	18540
84	2193	18450
85	2211	18362
86	2232	18298
87	2248	18192
88	2264	18093
89	2282	18004
90	2301	17932
91	2316	17829
92	2331	17726
93	2346	17627
94	2363	17536
95	2378	17445
96	2396	17369
97	2417	17319
98	2434	17235
99	2449	17148
100	2466	17072
101	2481	16979
102	2498	16907
103	2513	16818
104	2526	16725
105	2541	16637
106	2556	16557
107	2571	16474
108	2586	16394
109	2602	16322
110	2616	16244
111	2634	16186
112	2650	16115
113	2674	16095
114	2704	16107
115	2728	16089
116	2769	16165
117	2788	16118
118	2804	16050
119	2819	15977
120	2835	15913
121	2853	15856
122	2869	15794
123	2886	15735
124	2903	15677
125	2921	15629
126	2942	15590
127	2966	15572
128	2985	15529
129	3008	15506
130	3031	15482
131	3046	15415
132	3063	15363
133	3083	15325
134	3100	15272
135	3117	15218
136	3129	15144
137	3144	15083
138	3159	15026
139	3176	14972
140	3191	14916
141	3208	14866
142	3224	14813
143	3240	14760
144	3255	14704
145	3272	14661
146	3294	14632
147	3309	14580
148	3325	14529
149	3349	14515
150	3374	14505
151	3399	14492
152	3438	14542
153	3456	14499
154	3475	14463
155	3493	14420
156	3511	14383
157	3533	14357
158	3547	14303
159	3565	14260
160	3580	14210
161	3597	14167
162	3614	14125
163	3634	14093
164	3649	14045
165	3665	14000
166	3685	13970
167	3702	13926
168	3716	13874
169	3732	13830
170	3748	13786
171	3766	13751
172	3793	13746
173	3823	13754
174	3861	13790
175	3883	13767
176	3897	13718
177	3913	13676
178	3934	13648
179	3950	13608
180	3966	13565
181	3982	13524
182	4000	13487
183	4017	13451
184	4033	13407
185	4054	13385
186	4081	13381
187	4097	13337
188	4113	13298
189	4130	13262
190	4149	13229
191	4165	13189
192	4179	13145
193	4195	13105
194	4212	13070
195	4226	13025
196	4241	12982
197	4258	12946
198	4274	12908
199	4290	12870
200	4305	12831
201	4322	12796
202	4338	12759
203	4353	12718
204	4374	12696
205	4391	12663
206	4406	12623
207	4425	12594
208	4440	12556
209	4455	12518
210	4470	12478
211	4487	12446
212	4503	12410
213	4519	12375
214	4536	12343
215	4551	12304
216	4569	12276
217	4589	12251
218	4602	12211
219	4618	12176
220	4636	12145
221	4651	12109
222	4668	12078
223	4684	12046
224	4706	12027
225	4725	12001
226	4742	11971
227	4758	11938
228	4775	11908
229	4791	11874
230	4808	11845
231	4824	11811
232	4839	11776
233	4855	11745
234	4882	11738
235	4912	11739
236	4949	11756
237	4966	11727
238	4981	11692
239	4997	11659
240	5015	11632
241	5029	11596
242	5047	11569
243	5059	11528
244	5084	11518
245	5098	11482
246	5114	11450
247	5128	11415
248	5144	11383
