SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2 years,tenure_group_2-4 years,tenure_group_4-5 years,tenure_group_5+ years,MonthlyChargeLevel_Medium,MonthlyChargeLevel_High,MonthlyChargeLevel_Very High
0,1,1,1.3218163049693654,1,0,0.9815557839637743,1.6599003993413788,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
0,0,0,-0.26741022933725495,0,0,-0.9715455124063844,-0.5622521877037466,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
0,1,0,1.4440644999160286,1,0,0.8370661472425127,1.756103949661117,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
0,0,0,-1.2046463905950056,1,0,0.6410916974366633,-0.9083256719398274,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
0,1,0,0.6698259319204956,0,0,-0.8087870710422046,-0.10156067732153597,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1,1,0,1.2810669066538112,1,0,1.0629350046458643,1.814665498679414,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
0,0,0,-1.041648797332788,1,0,-0.023228471396724102,-0.8156380119926696,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,-0.43040782259947247,1,1,0.9367141725675209,-0.06352313835317878,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True
0,1,1,-0.06366323775948311,1,0,-0.35372775539133416,-0.2877929954941682,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0,0,-1.0823981956483424,0,1,-0.5663102094180181,-0.8775396568649181,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,0,1,-1.2861451872261143,1,1,-1.5212704521160125,-1.0031887890550197,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,-1.0823981956483424,1,1,0.4667076531178991,-0.8206701300884257,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,0,0,-0.8379018057550162,1,1,0.4916196594491511,-0.5716132458207426,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,1,0,1.158818711707148,1,1,1.3735046835754727,1.9554988824160988,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True
0,0,0,0.4253295420271693,1,1,-1.5063232483172613,-0.6691572293450275,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
1,0,0,-0.1044126360750375,0,1,-0.820412673996789,-0.4961314743844014,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
0,0,0,-0.43040782259947247,1,1,-0.32715494863799877,-0.4872977998232925,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0,1,1,0.7920741268671586,1,0,-1.3933888196155855,-0.46002767512096376,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
0,0,0,-1.2861451872261143,1,1,-0.29061733935216244,-0.9869058217670055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,0,0,0.9958211184449305,1,0,0.9865381852300249,1.3919016556914172,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
0,1,0,1.607062093178246,0,1,-0.35871015665758454,0.7188283924905056,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False
0,0,0,0.3845801437116149,1,1,1.288803862049216,0.8902500224686418,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,1,1,-0.715653610808353,1,0,-1.501340847051011,-0.8916691412997265,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
0,1,1,1.2810669066538112,1,0,0.5331396700012379,1.2452890271548036,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
1,1,1,0.5883271352893868,1,1,0.6626821029237485,0.7542509879942559,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
